;average_flowering_time
Tnz_1;82.25
WS_2;65.65
WT_1;71.5
WT_10;70.6
WT_11;70.5
WT_12;68.3
WT_13;68.85
WT_14;64.45
WT_15;75.05
WT_16;69.05263158
WT_17;69.25
WT_18;62.65
WT_19;65.8
WT_2;75.7
WT_21;62.1
WT_22;69.75
WT_23;68.4
WT_24;61.45
WT_25;73
WT_26;75.78947368
WT_27;68.1
WT_28;72.68421053
WT_29;68.45
WT_3;61.84210526
WT_30;70.35
WT_31;75.4
WT_34;65.47058824
WT_36;78.1
WT_38;76.7
WT_39;73.35
WT_4;67.7
WT_40;72.75
WT_41;77.35294118
WT_42;72.75
WT_44;77.25
WT_45;69.15
WT_46;67.63157895
WT_47;78.8
WT_48;67.85
WT_49;74.15
WT_5;69.25
WT_50;75.4
WT_51;76.94736842
WT_52;75.75
WT_54;62.26315789
WT_55;68.5
WT_56;63
WT_57;64.53846154
WT_58;71.4
WT_59;74.85
WT_6;71.4
WT_61;82.95
WT_62;73.26666667
WT_64;78.7
WT_65;73.19047619
WT_66;76.28571429
WT_68;82.14285714
WT_69;70.35
WT_71;71.25
WT_73;65.5
WT_74;69.3
WT_76;64.57142857
WT_77;63.28571429
WT_78;77.33333333
WT_9;79.35714286
